# algorithm_results.txt
# x 2155 5560 22362 50802 82402 110011 240015 264498 325462 337791
66 9.24 8.61 12.21 8.75 11.41 9.24 13.55 9.8 13.48 8.09
67 9.3 8.63 12.26 8.79 11.46 9.26 13.74 9.85 13.55 8.16
68 9.32 8.71 12.26 8.85 11.48 9.27 13.74 9.86 13.69 8.22
69 9.41 8.74 12.29 8.86 11.49 9.28 13.8 9.93 13.76 8.26
70 9.5 8.79 12.33 8.92 11.49 9.29 13.84 9.95 13.81 8.4
71 9.61 8.85 12.36 8.94 11.49 9.32 13.86 9.99 13.86 8.54
72 9.63 8.98 12.39 8.95 11.54 9.33 13.87 10.01 13.86 8.72
73 9.65 9.01 12.4 9.08 11.57 9.34 13.88 10.02 13.86 8.77
74 9.65 9.03 12.46 9.09 11.58 9.35 13.91 10.03 13.87 8.79
75 10.0 9.05 12.47 9.1 11.6 9.35 13.93 10.09 14.01 8.79
76 10.02 9.17 12.47 9.12 11.62 9.38 13.95 10.12 14.04 8.88
77 10.05 9.2 12.48 9.15 11.67 9.39 13.95 10.17 14.09 8.89
78 10.09 9.22 12.5 9.22 11.69 9.41 13.99 10.2 14.12 9.0
79 10.12 9.23 12.54 9.32 11.74 9.42 14.02 10.23 14.3 9.1
80 10.12 9.38 12.56 9.5 11.77 9.5 14.18 10.23 14.35 9.17
81 10.19 9.39 12.61 9.52 11.79 9.5 14.19 10.24 14.43 9.18
82 10.2 9.4 12.61 9.52 11.79 9.54 14.29 10.24 14.45 9.19
83 10.21 9.59 12.63 9.58 11.8 9.58 14.3 10.27 14.5 9.28
84 10.35 9.69 12.64 9.62 11.8 9.61 14.33 10.29 14.51 9.31
85 10.58 9.71 12.65 9.66 11.81 9.62 14.38 10.38 14.53 9.4
86 10.82 9.77 12.66 9.74 11.85 9.71 14.4 10.45 14.56 9.44
87 10.85 9.79 12.67 9.77 11.85 9.86 14.42 10.45 14.57 9.46
88 10.86 9.79 12.67 9.91 11.86 9.95 14.45 10.58 14.57 9.49
89 10.91 9.8 12.69 9.91 11.89 9.97 14.48 10.71 14.57 9.75
90 10.98 9.86 12.69 9.93 11.89 9.98 14.48 10.8 14.58 9.79
91 11.01 9.99 12.81 10.01 11.91 10.07 14.49 10.87 14.58 9.83
92 11.03 10.02 12.87 10.03 12.01 10.12 14.5 10.89 14.64 9.94
93 11.22 10.03 12.89 10.11 12.09 10.14 14.53 11.01 14.69 9.99
94 11.29 10.03 12.89 10.14 12.13 10.16 14.54 11.05 14.71 10.03
95 11.31 10.07 12.97 10.38 12.28 10.21 14.57 11.31 14.75 10.11
96 11.47 10.26 12.97 10.48 12.3 10.25 14.64 11.37 14.76 10.29
97 11.52 10.32 12.97 10.54 12.32 10.27 14.65 11.42 14.77 10.45
98 11.86 10.38 13.03 10.58 12.36 10.29 14.65 11.52 14.79 10.48
99 12.02 10.49 13.05 10.67 12.39 10.29 14.71 11.56 14.8 10.69
100 12.03 10.53 13.08 10.76 12.46 10.5 14.72 11.58 14.8 10.71
101 12.06 10.7 13.16 10.99 12.52 10.59 14.82 11.75 14.83 10.94
102 12.13 10.79 13.2 11.05 12.53 10.63 14.82 11.84 14.84 11.04
103 12.28 10.86 13.2 11.12 12.76 10.64 14.91 11.85 14.85 11.12
104 12.33 10.92 13.2 11.24 12.76 10.81 14.91 11.9 14.86 11.35
105 12.35 10.93 13.33 11.31 12.78 10.83 14.95 11.98 14.91 11.59
